,count,tract,date
173,126,48201254500,2021-01-16
174,298,48201254600,2021-01-16
175,170,48201254700,2021-01-16
176,196,48201310100,2021-01-16
177,59,48201310200,2021-01-16
178,198,48201310300,2021-01-16
179,125,48201310400,2021-01-16
180,198,48201310500,2021-01-16
181,216,48201310600,2021-01-16
182,191,48201310700,2021-01-16
183,118,48201310800,2021-01-16
184,196,48201310900,2021-01-16
185,292,48201311000,2021-01-16
186,256,48201311100,2021-01-16
187,252,48201311200,2021-01-16
188,277,48201311300,2021-01-16
189,87,48201311400,2021-01-16
190,260,48201311500,2021-01-16
191,118,48201311600,2021-01-16
192,169,48201311700,2021-01-16
193,130,48201311800,2021-01-16
194,90,48201311900,2021-01-16
195,170,48201312000,2021-01-16
196,54,48201312100,2021-01-16
197,77,48201312200,2021-01-16
198,107,48201312300,2021-01-16
199,31,48201312400,2021-01-16
200,132,48201312500,2021-01-16
201,156,48201312600,2021-01-16
202,48,48201312700,2021-01-16
203,96,48201312800,2021-01-16
204,150,48201312900,2021-01-16
205,92,48201313000,2021-01-16
206,194,48201313100,2021-01-16
207,171,48201313200,2021-01-16
208,115,48201313300,2021-01-16
209,123,48201313400,2021-01-16
210,124,48201313500,2021-01-16
211,147,48201313600,2021-01-16
212,97,48201313700,2021-01-16
213,167,48201313800,2021-01-16
214,190,48201313900,2021-01-16
215,129,48201314001,2021-01-16
216,190,48201314002,2021-01-16
217,151,48201314300,2021-01-16
218,205,48201314400,2021-01-16
219,111,48201320100,2021-01-16
220,230,48201320200,2021-01-16
221,268,48201320500,2021-01-16
222,125,48201320601,2021-01-16
223,261,48201320602,2021-01-16
224,268,48201320700,2021-01-16
225,232,48201320800,2021-01-16
226,326,48201320900,2021-01-16
227,521,48201321000,2021-01-16
228,352,48201321100,2021-01-16
229,241,48201321200,2021-01-16
230,292,48201321300,2021-01-16
231,190,48201321401,2021-01-16
232,297,48201321402,2021-01-16
233,176,48201321500,2021-01-16
234,436,48201321600,2021-01-16
235,179,48201321700,2021-01-16
236,218,48201321800,2021-01-16
237,328,48201321900,2021-01-16
238,164,48201322000,2021-01-16
239,219,48201322100,2021-01-16
240,122,48201322200,2021-01-16
241,449,48201322600,2021-01-16
242,528,48201322700,2021-01-16
243,261,48201322800,2021-01-16
244,259,48201322900,2021-01-16
245,256,48201323000,2021-01-16
246,174,48201323100,2021-01-16
247,333,48201323200,2021-01-16
248,147,48201323300,2021-01-16
249,559,48201323400,2021-01-16
250,312,48201323500,2021-01-16
251,509,48201323600,2021-01-16
252,311,48201323701,2021-01-16
253,277,48201323702,2021-01-16
254,283,48201323801,2021-01-16
255,338,48201323802,2021-01-16
256,215,48201323900,2021-01-16
257,375,48201324000,2021-01-16
258,379,48201324100,2021-01-16
259,56,48201324200,2021-01-16
260,259,48201330100,2021-01-16
261,203,48201330200,2021-01-16
262,324,48201330301,2021-01-16
263,190,48201330302,2021-01-16
264,135,48201330303,2021-01-16
265,179,48201330400,2021-01-16
266,158,48201330500,2021-01-16
267,220,48201330600,2021-01-16
268,272,48201330700,2021-01-16
269,657,48201330800,2021-01-16
270,398,48201330900,2021-01-16
271,179,48201331100,2021-01-16
272,144,48201331200,2021-01-16
273,165,48201331300,2021-01-16
274,60,48201331400,2021-01-16
275,363,48201331500,2021-01-16
276,271,48201331601,2021-01-16
277,205,48201331602,2021-01-16
278,156,48201331700,2021-01-16
279,148,48201331800,2021-01-16
280,108,48201331900,2021-01-16
281,223,48201332000,2021-01-16
282,121,48201332100,2021-01-16
283,171,48201332200,2021-01-16
